group,taxa,species,sp_ncbi,GS_source,GS_obs,Cvalue_1C_pg,ploidy,N_chromosomes_2n,method,congener
invert,Arthropod,Wyeomyia smithii,Wyeomyia smithii,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,0.86,NA,6,Fe,no
plant,Plant,Achillea millefolium,Achillea millefolium,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.88,4,36,FC_PI,no
plant,Plant,Achillea millefolium,Achillea millefolium,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,7.7,6,54,Fe,no
plant,Plant,Agropyron smithii,Pascopyrum smithii,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.4,NA,NA,FC_MI,no
plant,Plant,Agrostis capillaris,Agrostis capillaris,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,3.5,4,28,Fe,no
plant,Plant,Agrostis capillaris,Agrostis capillaris,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",synonym Agrostis tenuis,4.7,6,42,Fe,no
plant,Plant,Agrostis stolonifera,Agrostis stolonifera,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/","""Agrostis stolonifera are allopolyploids at all three levels of diploidy (2n=14, 4n=28 and 6n=42)"" (Tomic, Z. (1994). Cytogenetic and taxonomic identification of the species of the genus Agrostis L. represented in the flora of Serbia [Yugoslavia]. Review of Research Work at the Faculty of Agriculture (Yugoslavia)). So, we do not know how representative is the c-value from database",3.5,NA,NA,Fe,no
plant,Plant,Agrostis tenuis,Agrostis capillaris,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",synonym Agrostis tenuis,4.7,6,42,Fe,no
plant,Plant,Ajuga reptans,Ajuga reptans,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Alliaria petiolata,Alliaria petiolata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.9,4,36,Fe,no
plant,Plant,Ambrosia artemisiifolia,Ambrosia artemisiifolia,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.18,4,36,FC_PI,no
plant,Plant,Anthoxanthum odoratum,Anthoxanthum odoratum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,5.9,4,20,Fe,no
plant,Plant,Barbarea vulgaris,Barbarea vulgaris,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Betula pubescens,Betula pubescens,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.9,4,56,Fe & FC_PI,no
plant,Plant,Bouteloua gracilis,Bouteloua gracilis,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,19.7,NA,NA,FC_MI,no
plant,Plant,Brachypodium sylvaticum,Brachypodium sylvaticum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.43,2,18,FC_PI,no
plant,Plant,Brachypodium sylvaticum,Brachypodium sylvaticum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.44,2,16,FC_PI,no
plant,Plant,Brassica nigra,Brassica nigra,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.8,2,16,Fe,no
plant,Plant,Brassica rapa,Brassica rapa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.8,2,20,Fe,no
plant,Plant,Bromus madritensis,Bromus madritensis,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.9,4,28,Fe,no
plant,Plant,Bunias orientalis,Bunias orientalis,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.59,2,14,Fe,no
plant,Plant,Butomus umbellatus,Butomus umbellatus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,5.63,3,39,FC_PI,no
plant,Plant,Cardamine hirsuta,Cardamine hirsuta,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.23,NA,16,FC_PI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.555,NA,NA,FC_DAPI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.585,NA,NA,FC_DAPI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.6,NA,NA,FC_DAPI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.62,NA,NA,FC_DAPI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.695,NA,NA,FC_DAPI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",1.075,NA,NA,FC_DAPI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",1.075,NA,NA,FC_DAPI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",1.145,NA,NA,FC_DAPI,no
plant,Plant,Cardaria draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",1.145,NA,NA,FC_DAPI,no
plant,Plant,Carduus nutans,Carduus nutans,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.93,NA,16,FC_PI,no
plant,Plant,Centaurea calcitrapa,Centaurea calcitrapa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.93,NA,20,FC_PI,no
plant,Plant,Centaurea diffusa,Centaurea diffusa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.9,2,16,CIA,no
plant,Plant,Centaurea maculosa,Centaurea maculosa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/","synonym Centaurea stoebe, subspecies Centaurea stoebe ssp. stoebe according He 2009, Oecologia 159: 803-815 ",0.88,2,18,CIA,no
plant,Plant,Centaurea maculosa,Centaurea maculosa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/","synonym Centaurea stoebe, subspecies Centaurea stoebe ssp. micranthos according He 2009, Oecologia 159: 803-815",1.57,4,36,CIA,no
plant,Plant,Centaurea melitensis,Centaurea melitensis,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.94,NA,12,FC_PI,no
plant,Plant,Centaurea solstitialis,Centaurea solstitialis,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.87,2,16,CIA,no
plant,Plant,Centaurea sulphurea,Centaurea sulphurea,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Chelidonium majus,Chelidonium majus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.13,2,12,FC_PI,no
plant,Plant,Cichorium intybus,Cichorium intybus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.33,NA,NA,FC_PI,no
plant,Plant,Clidemia hirta,Miconia crenata,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Crepis sancta,Crepis sancta,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.09,2,10,Fe,no
plant,Plant,Cynoglossum officinale,Cynoglossum officinale,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.91,NA,NA,FC_PI,no
plant,Plant,Cytisus scoparius,Cytisus scoparius,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.9,4,48,Fe,no
plant,Plant,Dactylis glomerata,Dactylis glomerata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,3.3,2,14,Fe,no
plant,Plant,Dactylis glomerata,Dactylis glomerata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.4,4,28,Fe,no
plant,Plant,Dactylis glomerata,Dactylis glomerata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.4,6,42,FC_DAPI,no
plant,Plant,Datura stramonium,Datura stramonium,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.09,2,NA,FC_PI,no
plant,Plant,Deschampsia cespitosa,Deschampsia cespitosa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",synonym Deschampsia caespitosa,5.22,2,26,FC_PI,no
plant,Plant,Deschampsia cespitosa,Deschampsia cespitosa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",synonym Deschampsia caespitosa,9,4,52,Fe,no
plant,Plant,Digitalis purpurea,Digitalis purpurea,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.94,2,48,FC_PI,no
plant,Plant,Echium vulgare,Echium vulgare,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.83,NA,16,FC_PI,no
plant,Plant,Elymus multisetus,Elymus multisetus,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Eschscholzia californica,Eschscholzia californica,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.1,2,12,FC_PI,no
plant,Plant,Festuca idahoensis,Festuca idahoensis,Wilson BL. 1999. Fescue taxonomy in the Pacific coast states. Oregon State University. Thesis,NA,4.475,4,28,FC_X,no
plant,Plant,Festuca ovina,Festuca ovina,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.41,2,14,FC_PI,no
plant,Plant,Festuca ovina,Festuca ovina,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",subspecies Festuca ovina ssp. hirsuta (Sheep fescue),4.8,4,28,Fe,no
plant,Plant,Festuca rubra,Festuca rubra,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,6.84,6,42,FC_PI,no
plant,Plant,Festuca rubra,Festuca rubra,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,8.83,8,56,FC_PI,no
plant,Plant,Festuca rubra ssp. rubra,Festuca rubra subsp. rubra,Huff DR & Palazzo AJ. 1998. Fine fescue species determination by laser flow cytometry. Crop science 38(2): 445-450.,NA,7.135,8,56,FC_PI,no
plant,Plant,Galium aparine,Galium aparine,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.45,NA,NA,FC_PI,no
plant,Plant,Geranium carolinianum,Geranium carolinianum,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Glechoma hederacea,Glechoma hederacea,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.9,NA,NA,FC_PI,no
plant,Plant,Hesperostipa comata,Hesperostipa comata,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Holcus lanatus,Holcus lanatus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.92,2,14,FC_X,no
plant,Plant,Hypericum perforatum,Hypericum perforatum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.585,2,16,FC_PI,no
plant,Plant,Hypericum perforatum,Hypericum perforatum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.78,4,32,FC_PI,no
plant,Plant,Hypochaeris radicata,Hypochaeris radicata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.34,2,8,FC_EB,no
plant,Plant,Impatiens glandulifera,Impatiens glandulifera,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.2,2,18,Fe,no
plant,Plant,Jacobaea vulgaris,Jacobaea vulgaris,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",synonym Senecio jacobaea,2.3,4,40,Fe,no
plant,Plant,Koeleria cristata,Koeleria pyramidata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,11.45,10,70,FC_PI,no
plant,Plant,Koeleria micrantha,Koeleria macrantha,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.43,2,14,FC_PI,no
plant,Plant,Koeleria micrantha,Koeleria macrantha,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.66,4,28,FC_PI,no
plant,Plant,Lactuca muralis,Cicerbita muralis,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Lactuca serriola,Lactuca serriola,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/","It is not the prime estimation, but it is the closer wid ploidy estimation",2.79,2,18,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.555,NA,NA,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.585,NA,NA,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.6,NA,NA,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.62,NA,NA,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",0.695,NA,NA,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",1.075,NA,NA,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",1.075,NA,NA,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",1.145,NA,NA,FC_DAPI,no
plant,Plant,Lepidium draba,Lepidium draba,"Roughani A, Miri SM, Hassandokht MR, Moradi P & Abdossi V. 2021. Cytogenetic and Micro-Morphological Studies on Several Accessions of Some Lepidium L. Species in Iran. Iranian Journal of Science and Technology, Transactions A: Science 45(2): 417-426.","L. draba can be 2n (16 chs.), 4n (32 chs.), 6n (48 chs.), 8n (64 chs.) and 10n (80 chs.)",1.145,NA,NA,FC_DAPI,no
plant,Plant,Lespedeza cuneata,Lespedeza cuneata,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Lolium multiflorum,Lolium multiflorum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.63,2,14,FC_PI,no
plant,Plant,Lolium multiflorum,Lolium multiflorum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,5.5,4,28,FC_PI,no
plant,Plant,Lolium perenne,Lolium perenne,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.68,2,14,FC_PI,no
